Date;Trips
2016-01-10;77
2016-01-11;84
2016-01-12;99
2016-01-13;106
2016-01-14;89
2016-01-15;120
2016-01-16;81
2016-01-17;90
2016-01-18;76
2016-01-19;78
2016-01-20;100
2016-01-21;104
2016-01-22;97
2016-01-23;76
2016-01-24;78
2016-01-25;77
2016-01-26;94
2016-01-27;91
2016-01-28;93
2016-01-29;102
2016-01-30;80
2016-01-31;72
2016-02-01;69
2016-02-02;79
2016-02-03;78
2016-02-04;83
2016-02-05;111
2016-02-06;62
2016-02-07;63
2016-02-08;77
2016-02-09;87
2016-02-10;103
2016-02-11;91
2016-02-12;120
2016-02-13;104
2016-02-14;87
2016-02-15;69
2016-02-16;82
2016-02-17;103
2016-02-18;93
2016-02-19;118
2016-02-20;90
2016-02-21;79
2016-02-22;76
2016-02-23;88
2016-02-24;98
2016-02-25;118
2016-02-26;120
2016-02-27;100
2016-02-28;58
2016-02-29;90
2016-03-01;101
2016-03-02;106
2016-03-03;116
2016-03-04;127
2016-03-05;106
2016-03-06;74
2016-03-07;95
2016-03-08;102
2016-03-09;92
2016-03-10;116
2016-03-11;125
2016-03-12;144
2016-03-13;87
2016-03-14;91
2016-03-15;85
2016-03-16;101
2016-03-17;108
2016-03-18;127
2016-03-19;86
2016-03-20;102
2016-03-21;77
2016-03-22;87
2016-03-23;95
2016-03-24;122
2016-03-25;112
2016-03-26;97
2016-03-27;68
2016-03-28;67
2016-03-29;70
2016-03-30;94
2016-03-31;127
2016-04-01;133
2016-04-02;117
2016-04-03;77
2016-04-04;109
2016-04-05;112
2016-04-06;111
2016-04-07;119
2016-04-08;134
2016-04-09;90
2016-04-10;75
2016-04-11;72
2016-04-12;99
2016-04-13;97
2016-04-14;108
2016-04-15;119
2016-04-16;87
2016-04-17;76
2016-04-18;77
2016-04-19;104
2016-04-20;108
2016-04-21;100
2016-04-22;114
2016-04-23;83
2016-04-24;69
2016-04-25;73
2016-04-26;98
2016-04-27;100
2016-04-28;113
2016-04-29;111
2016-04-30;101
2016-05-01;80
2016-05-02;107
2016-05-03;84
2016-05-04;100
2016-05-05;137
2016-05-06;122
2016-05-07;84
2016-05-08;64
2016-05-09;90
2016-05-10;104
2016-05-11;87
2016-05-12;121
2016-05-13;144
2016-05-14;120
2016-05-15;79
2016-05-16;69
2016-05-17;82
2016-05-18;96
2016-05-19;98
2016-05-20;126
2016-05-21;93
2016-05-22;93
2016-05-23;98
2016-05-24;96
2016-05-25;102
2016-05-26;104
2016-05-27;98
2016-05-28;97
2016-05-29;79
2016-05-30;72
2016-05-31;78
2016-06-01;97
2016-06-02;124
2016-06-03;128
2016-06-04;96
2016-06-05;93
2016-06-06;101
2016-06-07;109
2016-06-08;88
2016-06-09;98
2016-06-10;113
2016-06-11;98
2016-06-12;115
2016-06-13;103
2016-06-14;111
2016-06-15;107
2016-06-16;112
2016-06-17;125
2016-06-18;95
2016-06-19;83
2016-06-20;95
2016-06-21;110
2016-06-22;121
2016-06-23;103
2016-06-24;109
2016-06-25;107
2016-06-26;95
2016-06-27;90
2016-06-28;88
2016-06-29;89
2016-06-30;97
2016-07-01;96
2016-07-02;75
2016-07-03;73
2016-07-04;59
2016-07-05;65
2016-07-06;74
2016-07-07;89
2016-07-08;107
2016-07-09;94
2016-07-10;78
2016-07-11;84
2016-07-12;87
2016-07-13;92
2016-07-14;107
2016-07-15;116
2016-07-16;103
2016-07-17;73
2016-07-18;98
2016-07-19;69
2016-07-20;90
2016-07-21;115
2016-07-22;109
2016-07-23;97
2016-07-24;81
2016-07-25;81
2016-07-26;93
2016-07-27;93
2016-07-28;94
2016-07-29;97
2016-07-30;98
2016-07-31;77
2016-08-01;86
2016-08-02;62
2016-08-03;70
2016-08-04;97
2016-08-05;81
2016-08-06;64
2016-08-07;66
2016-08-08;61
2016-08-09;79
2016-08-10;94
2016-08-11;119
2016-08-12;110
2016-08-13;82
2016-08-14;69
2016-08-15;80
2016-08-16;74
2016-08-17;78
2016-08-18;106
2016-08-19;87
2016-08-20;93
2016-08-21;83
2016-08-22;74
2016-08-23;70
2016-08-24;91
2016-08-25;88
2016-08-26;97
2016-08-27;78
2016-08-28;75
2016-08-29;71
2016-08-30;79
2016-08-31;83
2016-09-01;91
2016-09-02;88
2016-09-03;75
2016-09-04;52
2016-09-05;45
2016-09-06;68
2016-09-07;75
2016-09-08;74
2016-09-09;92
2016-09-10;69
2016-09-11;35
2016-09-12;54
2016-09-13;52
2016-09-14;65
2016-09-15;63
2016-09-16;70
2016-09-17;51
2016-09-18;85
2016-09-19;87
2016-09-20;83
2016-09-21;86
2016-09-22;94
2016-09-23;103
2016-09-24;80
2016-09-25;75
2016-09-26;78
2016-09-27;63
2016-09-28;104
2016-09-29;108
2016-09-30;77
2016-10-01;59
2016-10-02;48
2016-10-03;44
2016-10-04;71
2016-10-05;93
2016-10-06;94
2016-10-07;79
2016-10-08;68
2016-10-09;61
2016-10-10;52
2016-10-11;81
2016-10-12;79
2016-10-13;104
2016-10-14;110
2016-10-15;94
2016-10-16;92
2016-10-17;91
2016-10-18;71
2016-10-19;69
2016-10-20;102
2016-10-21;90
2016-10-22;82
2016-10-23;72
2016-10-24;71
2016-10-25;94
2016-10-26;101
2016-10-27;96
2016-10-28;98
2016-10-29;78
2016-10-30;57
2016-10-31;75
2016-11-01;64
2016-11-02;100
2016-11-03;93
2016-11-04;99
2016-11-05;93
2016-11-06;65
2016-11-07;74
2016-11-08;69
2016-11-09;70
2016-11-10;63
2016-11-11;95
2016-11-12;77
2016-11-13;61
2016-11-14;51
2016-11-15;78
2016-11-16;95
2016-11-17;84
2016-11-18;103
2016-11-19;63
2016-11-20;53
2016-11-21;63
2016-11-22;53
2016-11-23;56
