Region (Bhf);Techn. Platz (Bhf);Bezeichnung (Bhf);Bezeichn. TP (EQ);Equipment (EQ);Bezeichnung (EQ);Postleitzahl (EQ);Ort (Bhf);Standort EQ;Hersteller (EQ);Baujahr (EQ);Klassenbezeichnung;ANTRIEBSART;ANZAHL_HALTESTELLEN;ANZAHL_TUEREN_KABINE;ANZAHL_TUEREN_SCHACHT;FOERDERGESCHWINDIGKEIT;FOERDERHOEHE;LAGE;TRAGKRAFT;ERWEITERTE_ORTSANGABE;MIN_TUERBREITE;KABINENTIEFE;KABINENBREITE;KABINENHOEHE;AUSFTEXTLICHEBESCHREIBUNG;TUERHOHE;FABRIKNUMMER;TUERART;GEOKOORDINATERECHTSWERTNEU;GEOKOORDINATEHOCHWERTNEU;NAMEGEMAESSWEGELEITSYSTEM;VERKEHRENDEVERKEHRSMITTEL
2;6099;Suhl;Bahnsteig 01;10060703;Personenaufzug;98527;Suhl;BAHNSTEIG 1;Thyssen Krupp;1998;Personenaufzüge;HYDRAULISCH;2;1;2;4000;42300;INTEGRIERT;10000000;;;;;;zu Gleis 1;;;;10,6828687;50,6050284;;
1;1077;Cottbus Hbf;Bahnsteig 2/3;10501166;PA Tunnel Neu > Bstg 2/3;3048;Cottbus;BAHNSTEIG 2/3;Schindler;2018;Personenaufzüge;SEIL;2;2;2;10000;45200;AUßEN;10000000;GLEIS 2/3 TUNNEL;10000000;22500000;10500000;22000000;zu Gleis 2/3;21000000;11069586;;14.32490;51.75080;;
1;7722;Eichborndamm;S-Bahnsteig 01;10487855;AZ Gl. 2 PU - Bstg./Fabrik-Nr: 284013048;13403;Berlin;;Thyssen Krupp;2014;Personenaufzüge;SEIL;2;2;2;10000;59900;AUßEN;6750000;"GL1;AUSGANG";10000000;14000000;11000000;22000000;zu Gleis 1 (S-Bahn);21000000;284013048;ZS2;13,3157024;52,5775976;;
7;4284;Murnau;Bahnsteig Gleis 1 / Gleis 4;10445182;Personenaufzug;82418;Murnau;BAHNSTEIGMITTE;OTIS GmbH & Co. OHG;2010;Personenaufzüge;SEIL;2;2;2;10000;40000;STIRNSEITE UNTERFÜHRUNG;10500000;ÖSTL. STIRNSEITE;10000000;23250000;11000000;22000000;zu Gleis 1/4;21000000;47NAM526;ZS2;11,1930857;47,6824826;;
2;2282;Gröbers;Bahnsteig 1/2;10204264;Personenaufzug;6184;Gröbers;BSTG.2;OTIS GmbH & Co. OHG;2003;Personenaufzüge;HYDRAULISCH;2;1;2;6300;53100;;7000000;;10000000;14000000;11000000;22000000;zu Gleis 1/2;20000000;22688;ES2;12,1177785;51,4322873;;
1;5934;Springpfuhl;Treppenaufgang zur Straßenbrücke;10226149;AZ Gl. 1-2 / Fabrik-Nr: 244099118;12681;Berlin;;Thyssen Krupp;1999;Personenaufzüge;SEIL;2;2;2;10000;61400;AUßEN;10500000;"GL1/2;AUSGANG";9000000;22590000;9600000;22700000;zu Gleis 1/2 (S-Bahn);21000000;244099118;ZS2;13,5369277;52,525946;;
2;5898;Sondershausen;Inselbahnsteig 2/3;10776420;Personenaufzug Bstg 2/3;99706;Sondershausen;BST 2;Thyssen Krupp;2019;Personenaufzüge;SEIL;1;1;1;;;;;;;;;;;;286218019;;10.849055;51.369882;Aufzug Bahnsteig 2/3;
3;2545;Hannover Hbf;FLE Turm Ost;10439301;Personenaufzug MC D/Eiscaffee;30159;Hannover;BT C OST;OTIS GmbH & Co. OHG;1999;Personenaufzüge;INDIREKT HYDRAULISCH;3;2;5;5200;78500;INNEN;15000000;;14000000;20000000;16000000;22000000;;21000000;47KK6775;ZS4;;;;
2;2862;Hohenstein-Ernstthal;Hohenstein-Ernstthal Bahnsteigbereich;10453224;Personenaufzug_Bahnsteig;9337;Hohenstein-Ernstthal;BAHNSTEIG 1/2;Thyssen Krupp;2010;Personenaufzüge;SEIL;2;2;2;10000;41300;;10500000;;;;;;zu Gleis 1/2;;;;12,7060884;50,798623;;
1;5523;Savignyplatz;S-Bahnsteig 01;10448910;AZ Gl. 3-4 / Fabrik-Nr: 284009067;10623;Berlin;;Thyssen Krupp;2010;Personenaufzüge;SEIL;2;2;2;10000;69100;AUßEN;10000000;"GL3/4;AUSGANG";9000000;14000000;11000000;22000000;zu Gleis 3/4 (S-Bahn);20000000;284009067;ZS2;13,3198177;52,505119;;
